	medcodeid	observations	term	snomedctconceptid	Typei	Typeii	unknowntype/other
341	a616191000006112	4000	"Diabetes mellitus during pregnancy, childbirth and the puerperium"	199223000	0	0	1
342	a730411000000115	4000	Eligible for diabetic retinopathy screening	3.72E+14	0	0	1
343	a856611000006114	4000	Laser treated diabetic retinopathy	8.57E+14	0	0	1
344	a178798017	4000	Diabetic ketoacidosis without coma	111556005	1	0	0
345	a453050019	4000	Education score - diabetes	309593006	0	0	1
346	a308071000000112	4000	Patient consent given for addition to diabetic register	2.02E+14	0	0	1
347	a1763421000006116	3000	Insulin dose	1.76E+15	0	0	1
348	a617041000006117	3000	Diabetic Foot Risk Assessment	6.17E+14	0	0	1
349	a1783381000006112	3000	Insulin alert patient information booklet information discussed	8.05E+14	0	0	1
350	a914031000006118	3000	Renal disorder associated with type II diabetes mellitus	420279001	0	1	0
351	a918281000006116	3000	Pt advised re diabetic diet	9.18E+14	0	0	1
352	a308360012	3000	Cellulitis in diabetic foot	200687002	0	0	1
353	a1780311019	3000	Type 1 diabetes mellitus with persistent microalbuminuria	401110002	1	0	0
354	a928461000006119	3000	Persistent proteinuria associated with type 1 diabetes mellitus	420514000	1	0	0
355	a483886014	3000	Maturity onset diabetes in youth	609561005	0	0	1
356	a358035014	3000	Insulin lipohypertrophy	238894004	0	0	1
357	a975261000006113	3000	O/E - left eye stable treated proliferative diabetic retinopathy	414894003	0	0	1
358	a299621000000117	3000	Gastroparesis with type 2 diabetes mellitus	713703005	0	1	0
359	a1230929011	3000	Secondary pancreatic diabetes mellitus	51002006	0	0	1
360	a2586731000000110	3000	Under care of community-based diabetes specialist nurse	1.02E+15	0	0	1
361	a1966321000006112	3000	Diabetic on insulin and glucagon-like peptide 1 receptor agonist	9.76E+14	0	0	1
362	a302011	3000	Diabetic peripheral angiopathy	127014009	0	0	1
364	a282570016	3000	Diabetic stabilisation	182781000	0	0	1
365	a2168881000000114	3000	Subcutaneous infusion with insulin pump	180178009	0	0	1
366	a411891014	3000	Unstable diabetes	11530004	0	0	1
367	a1139861000000119	3000	Declined consent for diabetes year of care programme	5.13E+14	0	0	1
368	a764201000006110	3000	Foot abnormality - diabetes related	280137006	0	0	1
369	a2159949019	3000	Diabetic retinopathy 6 month review	408385003	0	0	1
370	a2359401000000111	3000	Conversion to non-insulin injectable medication	9.19E+14	0	1	0
371	a2159854012	3000	Diabetes key contact	9.32E+14	0	0	1
372	a4636471000006118	2000	Has seen dietitian - diabetes	170752001	0	0	1
373	a264718013	2000	Diabetic-uncooperative patient	170770003	0	0	1
374	a910491000006117	2000	[RFC] Diabetic leg ulcer	9.10E+14	0	0	1
375	a8098961000006118	2000	Referral to expert patient education versus routine treatment diabetes structured education programme	3.07E+14	0	0	1
376	a913451000006117	2000	Type 1 diabetes mellitus with renal complications	421893009	1	0	0
377	a913661000006118	2000	Retinopathy with type 1 diabetes mellitus	420789003	1	0	0
378	a928581000006111	2000	Ketoacidosis in type 2 diabetes mellitus	421750000	0	1	0
379	a928571000006113	2000	Type II diabetes mellitus with persistent microalbuminuria	420715001	0	1	0
380	a82373015	2000	Diabetic polyneuropathy	49455004	0	0	1
381	a6515171000006112	2000	Nonproliferative diabetic retinopathy	390834004	0	0	1
382	a2243331000000115	2000	Erectile dysfunction due to diabetes mellitus	8.68E+14	0	0	1
383	a1841461000006118	2000	Diabetic foot screening invitation letter	1.84E+15	0	0	1
384	a6444071000006112	2000	Diabetic care education	385805005	0	0	1
385	a2548430017	2000	Discharged from care of diabetes specialist nurse	417467000	0	0	1
386	a292577016	2000	Type 2 diabetes mellitus with multiple complications	190388001	0	1	0
387	a292617015	2000	Diabetes mellitus with other specified manifestation	74627003	0	0	1
